seg_key,seg_id,freq,assigned_label,post_commodity,post_title,post_proper_name,stability
98,seg_00027,6,proper_name,0.0,0.0,1.0,1.0
171,seg_00028,5,proper_name,0.0,0.0,1.0,1.0
"171,53",seg_00029,5,proper_name,0.0,0.0,1.0,1.0
"211,155",seg_00030,5,proper_name,0.0,0.0,1.0,1.0
"230,175",seg_00031,5,proper_name,0.0,0.0,1.0,1.0
267,seg_00032,5,proper_name,0.0,0.0,1.0,1.0
343,seg_00033,5,proper_name,0.0,0.0,1.0,1.0
"87,403",seg_00034,5,proper_name,0.0,0.0,1.0,1.0
"97,391",seg_00035,5,proper_name,0.0,0.0,1.0,1.0
"139,342",seg_00036,4,proper_name,0.0,0.0,1.0,1.0
"15,389,178,98",seg_00037,4,proper_name,0.0,0.0,1.0,0.975609756097561
"162,249",seg_00038,4,proper_name,0.0,0.0,1.0,1.0
"169,124",seg_00039,4,proper_name,0.0,0.0,1.0,1.0
233,seg_00040,4,proper_name,0.0,0.0,1.0,1.0
249,seg_00041,4,proper_name,0.0,0.0,1.0,1.0
"284,87",seg_00042,4,proper_name,0.0,0.0,1.0,1.0
"67,53",seg_00043,4,proper_name,0.0,0.0,1.0,1.0
"123,412",seg_00044,3,proper_name,0.0,0.0,1.0,1.0
124,seg_00045,3,proper_name,0.0,0.0,1.0,1.0
"162,102",seg_00046,3,proper_name,0.0,0.0,1.0,1.0
"169,407,17",seg_00047,3,proper_name,0.0,0.0,1.0,1.0
17,seg_00048,3,proper_name,0.0,0.0,1.0,1.0
"171,387",seg_00049,3,proper_name,0.0,0.0,1.0,1.0
"176,1,342",seg_00050,3,proper_name,0.0,0.0,1.0,1.0
"194,112,89,336",seg_00051,3,proper_name,0.0,0.0,1.0,1.0
"211,72",seg_00052,3,proper_name,0.0,0.0,1.0,1.0
"211,72,387",seg_00053,3,proper_name,0.0,0.0,1.0,1.0
"230,204",seg_00054,3,proper_name,0.0,0.0,1.0,1.0
244,seg_00055,3,proper_name,0.0,0.0,1.0,0.975609756097561
293,seg_00056,3,proper_name,0.0,0.0,1.0,1.0
"293,17",seg_00057,3,proper_name,0.0,0.0,1.0,1.0
"294,87",seg_00058,3,proper_name,0.0,0.0,1.0,1.0
341,seg_00059,3,proper_name,0.0,0.0,1.0,1.0
345,seg_00060,3,proper_name,0.0,0.0,1.0,1.0
"347,65",seg_00061,3,proper_name,0.0,0.0,1.0,1.0
"402,267",seg_00062,3,proper_name,0.0,0.0,1.0,1.0
"48,99,267",seg_00063,3,proper_name,0.0,0.0,1.0,1.0
"72,387",seg_00064,3,proper_name,0.0,0.0,1.0,1.0
89,seg_00065,3,proper_name,0.0,0.0,1.0,1.0
"96,409,124",seg_00066,3,proper_name,0.0,0.0,1.0,1.0
97,seg_00067,3,proper_name,0.0,0.0,1.0,1.0
